joint_RFCoxa_yaw,joint_RFCoxa,joint_RFCoxa_roll,joint_RFFemur,joint_RFFemur_roll,joint_RFTibia,joint_RFTarsus1,joint_LFCoxa_yaw,joint_LFCoxa,joint_LFCoxa_roll,joint_LFFemur,joint_LFFemur_roll,joint_LFTibia,joint_LFTarsus1,joint_RMCoxa_yaw,joint_RMCoxa,joint_RMCoxa_roll,joint_RMFemur,joint_RMFemur_roll,joint_RMTibia,joint_RMTarsus1,joint_LMCoxa_yaw,joint_LMCoxa,joint_LMCoxa_roll,joint_LMFemur,joint_LMFemur_roll,joint_LMTibia,joint_LMTarsus1,joint_RHCoxa_yaw,joint_RHCoxa,joint_RHCoxa_roll,joint_RHFemur,joint_RHFemur_roll,joint_RHTibia,joint_RHTarsus1,joint_LHCoxa_yaw,joint_LHCoxa,joint_LHCoxa_roll,joint_LHFemur,joint_LHFemur_roll,joint_LHTibia,joint_LHTarsus1
-0.157374,0.195258,-0.728201,-1.893925,-0.806004,1.306662,-0.879028,0.157374,0.195258,0.728201,-1.893925,0.806004,1.306662,-0.879028,-0.765146,0.070982,-1.907098,-1.299489,-0.353158,1.888055,-0.919930,0.765146,0.070982,1.907098,-1.299489,0.353158,1.888055,-0.919930,-0.322336,0.344827,-2.364939,-2.090169,0.245688,2.322483,-0.048686,0.322336,0.344827,2.364939,-2.090169,-0.245688,2.322483,-0.048686
-0.166314,0.170434,-0.687227,-1.796859,-0.751824,1.282127,-0.895542,0.166314,0.170434,0.687227,-1.796859,0.751824,1.282127,-0.895542,-0.783435,0.034083,-1.909762,-1.202504,-0.289604,1.866576,-0.959407,0.783435,0.034083,1.909762,-1.202504,0.289604,1.866576,-0.959407,-0.293645,0.359825,-2.408623,-2.098215,0.235103,2.311903,-0.069027,0.293645,0.359825,2.408623,-2.098215,-0.235103,2.311903,-0.069027
-0.153648,0.160379,-0.657243,-1.741724,-0.693027,1.268001,-0.899907,0.153648,0.160379,0.657243,-1.741724,0.693027,1.268001,-0.899907,-0.802125,-0.010895,-1.913683,-1.129509,-0.224053,1.854686,-1.010424,0.802125,-0.010895,1.913683,-1.129509,0.224053,1.854686,-1.010424,-0.263274,0.372246,-2.450326,-2.103692,0.226497,2.293417,-0.090899,0.263274,0.372246,2.450326,-2.103692,-0.226497,2.293417,-0.090899
-0.120209,0.172829,-0.645715,-1.740519,-0.636842,1.266383,-0.885220,0.120209,0.172829,0.645715,-1.740519,0.636842,1.266383,-0.885220,-0.813394,-0.060147,-1.915247,-1.100221,-0.158473,1.862241,-1.052442,0.813394,-0.060147,1.915247,-1.100221,0.158473,1.862241,-1.052442,-0.242016,0.383018,-2.482934,-2.098894,0.224854,2.265862,-0.109646,0.242016,0.383018,2.482934,-2.098894,-0.224854,2.265862,-0.109646
-0.081853,0.208572,-0.655222,-1.791783,-0.596196,1.287365,-0.852842,0.081853,0.208572,0.655222,-1.791783,0.596196,1.287365,-0.852842,-0.809502,-0.107030,-1.904580,-1.130267,-0.099251,1.893067,-1.057931,0.809502,-0.107030,1.904580,-1.130267,0.099251,1.893067,-1.057931,-0.237395,0.393155,-2.500913,-2.078248,0.232004,2.228505,-0.122555,0.237395,0.393155,2.500913,-2.078248,-0.232004,2.228505,-0.122555
-0.057900,0.260804,-0.683737,-1.881087,-0.583171,1.338120,-0.805823,0.057900,0.260804,0.683737,-1.881087,0.583171,1.338120,-0.805823,-0.787452,-0.144038,-1.872728,-1.223626,-0.054709,1.941765,-1.005188,0.787452,-0.144038,1.872728,-1.223626,0.054709,1.941765,-1.005188,-0.251422,0.405154,-2.503396,-2.038765,0.245956,2.182861,-0.130343,0.251422,0.405154,2.503396,-2.038765,-0.245956,2.182861,-0.130343
-0.056061,0.320341,-0.728906,-1.990008,-0.602621,1.414895,-0.745912,0.056061,0.320341,0.728906,-1.990008,0.602621,1.414895,-0.745912,-0.752884,-0.168108,-1.826144,-1.358458,-0.024146,1.995401,-0.902797,0.752884,-0.168108,1.826144,-1.358458,0.024146,1.995401,-0.902797,-0.281530,0.423923,-2.494011,-1.979402,0.261980,2.133360,-0.136898,0.281530,0.423923,2.494011,-1.979402,-0.261980,2.133360,-0.136898
-0.035294,0.331117,-0.774966,-2.022615,-0.594260,1.484642,-0.749674,0.035294,0.331117,0.774966,-2.022615,0.594260,1.484642,-0.749674,-0.714703,-0.180728,-1.781812,-1.498716,0.000275,2.041740,-0.786853,0.714703,-0.180728,1.781812,-1.498716,-0.000275,2.041740,-0.786853,-0.322003,0.455295,-2.477823,-1.902622,0.273821,2.086661,-0.146257,0.322003,0.455295,2.477823,-1.902622,-0.273821,2.086661,-0.146257
-0.020873,0.342140,-0.824235,-2.060305,-0.591545,1.544168,-0.723793,0.020873,0.342140,0.824235,-2.060305,0.591545,1.544168,-0.723793,-0.681556,-0.185513,-1.754300,-1.611201,0.028504,2.074161,-0.694181,0.681556,-0.185513,1.754300,-1.611201,-0.028504,2.074161,-0.694181,-0.366541,0.502383,-2.457913,-1.814922,0.276069,2.049152,-0.159511,0.366541,0.502383,2.457913,-1.814922,-0.276069,2.049152,-0.159511
-0.020098,0.362450,-0.876585,-2.100002,-0.605074,1.588804,-0.676058,0.020098,0.362450,0.876585,-2.100002,0.605074,1.588804,-0.676058,-0.659935,-0.184629,-1.748674,-1.679971,0.066076,2.093080,-0.641143,0.659935,-0.184629,1.748674,-1.679971,-0.066076,2.093080,-0.641143,-0.410155,0.562103,-2.435737,-1.725292,0.267312,2.023577,-0.174666,0.410155,0.562103,2.435737,-1.725292,-0.267312,2.023577,-0.174666
